epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,15.187,1.05063,1.74075,1.88296,0.05877,0.99883,0.98603,0.98723,0.7786,0.85998,1.34665,1.56464,0.01242,0.000658228,0.000658228,0.000658228
2,29.149,0.83574,0.6073,1.52573,0.02564,0.9997,0.98603,0.985,0.77262,0.87905,0.49707,1.4856,0.0084,0.00131178,0.00131178,0.00131178
3,42.7305,0.80332,0.49729,1.4678,0.02126,0.99963,0.98603,0.98868,0.78212,0.82346,0.4405,1.48825,0.01589,0.00195213,0.00195213,0.00195213
4,56.2049,0.771,0.45654,1.44154,0.0194,0.999,0.98603,0.985,0.80782,0.7909,0.3906,1.41684,0.01406,0.0019406,0.0019406,0.0019406
5,69.91,0.79012,0.44491,1.46123,0.01554,0.99958,0.98603,0.99324,0.80605,0.81855,0.42656,1.42501,0.01234,0.0019208,0.0019208,0.0019208
6,85.3155,0.75712,0.4136,1.44858,0.01495,0.9998,0.98603,0.985,0.81559,0.78654,0.40165,1.41662,0.01233,0.001901,0.001901,0.001901
7,99.4453,0.74141,0.40948,1.41934,0.01457,0.9998,0.98603,0.985,0.82449,0.77185,0.36612,1.42441,0.00789,0.0018812,0.0018812,0.0018812
8,113.301,0.73286,0.38967,1.4172,0.01676,0.99969,0.98603,0.99387,0.83989,0.73738,0.34395,1.38053,0.01929,0.0018614,0.0018614,0.0018614
9,126.656,0.7268,0.38937,1.38967,0.01413,0.9998,0.98603,0.99303,0.83884,0.73058,0.34236,1.37288,0.01441,0.0018416,0.0018416,0.0018416
10,140.579,0.71992,0.38892,1.40322,0.01243,0.99981,0.98603,0.985,0.82685,0.76919,0.3472,1.40074,0.00915,0.0018218,0.0018218,0.0018218
11,155.891,0.72021,0.37037,1.39799,0.01026,0.9998,0.98603,0.993,0.83031,0.759,0.34395,1.39389,0.0054,0.001802,0.001802,0.001802
12,169.781,0.72032,0.38778,1.40018,0.01128,0.99978,0.98603,0.99303,0.83302,0.73696,0.35035,1.37039,0.00655,0.0017822,0.0017822,0.0017822
13,183.694,0.71796,0.37897,1.39252,0.01168,0.9998,0.98603,0.985,0.83101,0.74321,0.33614,1.38998,0.00777,0.0017624,0.0017624,0.0017624
14,198.569,0.71886,0.37381,1.39424,0.01102,0.99978,0.98603,0.99165,0.84415,0.73233,0.33773,1.36744,0.00878,0.0017426,0.0017426,0.0017426
15,212.73,0.69103,0.3589,1.37704,0.01039,0.9998,0.98603,0.99227,0.82934,0.7394,0.35719,1.37491,0.0071,0.0017228,0.0017228,0.0017228
16,226.129,0.71551,0.36351,1.39109,0.01126,0.99963,0.98603,0.985,0.83353,0.74741,0.36132,1.39143,0.0086,0.001703,0.001703,0.001703
17,239.221,0.69453,0.35972,1.36316,0.00973,0.99976,0.98603,0.99335,0.83769,0.73776,0.34394,1.3941,0.00687,0.0016832,0.0016832,0.0016832
18,252.493,0.69887,0.35413,1.37331,0.00878,0.99922,0.98603,0.985,0.8275,0.74065,0.3359,1.37412,0.00793,0.0016634,0.0016634,0.0016634
19,265.565,0.70454,0.35906,1.37514,0.00976,0.99955,0.98603,0.985,0.829,0.75066,0.34327,1.38213,0.00675,0.0016436,0.0016436,0.0016436
20,278.682,0.70457,0.36259,1.38136,0.00962,0.99881,0.98603,0.99162,0.84797,0.72864,0.3495,1.36785,0.00721,0.0016238,0.0016238,0.0016238
21,291.654,0.6873,0.35447,1.36827,0.01065,0.9998,0.98603,0.985,0.8437,0.71552,0.33308,1.3415,0.00664,0.001604,0.001604,0.001604
22,304.6,0.68507,0.35387,1.36976,0.01037,0.99966,0.98603,0.99452,0.85564,0.71451,0.32291,1.35538,0.00617,0.0015842,0.0015842,0.0015842
23,317.714,0.67213,0.33783,1.35686,0.00907,0.99974,0.98603,0.99399,0.84485,0.7063,0.33023,1.34457,0.00577,0.0015644,0.0015644,0.0015644
24,330.631,0.6798,0.34477,1.35899,0.00918,0.9998,0.98603,0.985,0.84485,0.71214,0.3267,1.35429,0.00775,0.0015446,0.0015446,0.0015446
25,343.597,0.68053,0.34606,1.34879,0.00884,0.99979,0.98603,0.99277,0.84572,0.7201,0.35091,1.35933,0.00512,0.0015248,0.0015248,0.0015248
26,356.522,0.6556,0.33157,1.32957,0.01053,0.99979,0.98603,0.985,0.84226,0.71233,0.33669,1.35029,0.00589,0.001505,0.001505,0.001505
27,369.481,0.66392,0.33447,1.34753,0.00874,0.99968,0.98603,0.985,0.84079,0.71701,0.34071,1.35145,0.01068,0.0014852,0.0014852,0.0014852
28,382.415,0.67367,0.33376,1.34736,0.00884,0.99981,0.98603,0.993,0.84854,0.70966,0.31992,1.3466,0.00481,0.0014654,0.0014654,0.0014654
29,395.336,0.68891,0.33894,1.36171,0.01099,0.99982,0.98603,0.99324,0.84862,0.7168,0.34284,1.33594,0.00556,0.0014456,0.0014456,0.0014456
30,408.242,0.66078,0.33627,1.34198,0.00863,1,0.98865,0.99291,0.85039,0.70642,0.31718,1.34622,0.00388,0.0014258,0.0014258,0.0014258
31,421.147,0.67695,0.34086,1.35019,0.00946,0.99979,0.98603,0.9942,0.85273,0.69181,0.32605,1.33482,0.00461,0.001406,0.001406,0.001406
32,434.085,0.64624,0.32355,1.34017,0.00737,0.99982,0.98603,0.985,0.85331,0.70049,0.32528,1.34352,0.00991,0.0013862,0.0013862,0.0013862
33,447.235,0.65674,0.32972,1.33727,0.00946,0.99709,0.98603,0.99285,0.85073,0.69963,0.31078,1.34889,0.00398,0.0013664,0.0013664,0.0013664
34,460.261,0.6693,0.33079,1.35841,0.00873,0.99977,0.98603,0.99289,0.8512,0.70461,0.30974,1.34799,0.00782,0.0013466,0.0013466,0.0013466
35,473.287,0.65491,0.32651,1.33283,0.00835,0.99981,0.98603,0.9926,0.84571,0.7117,0.33269,1.35563,0.00742,0.0013268,0.0013268,0.0013268
36,486.292,0.66678,0.33553,1.35657,0.0088,0.9998,0.98603,0.99355,0.84974,0.70524,0.31062,1.33773,0.01075,0.001307,0.001307,0.001307
37,499.183,0.66411,0.33036,1.34245,0.0088,0.9998,0.98603,0.99227,0.85272,0.70408,0.33036,1.35344,0.00476,0.0012872,0.0012872,0.0012872
38,512.322,0.67037,0.33168,1.34586,0.009,0.9997,0.98603,0.99377,0.85389,0.69753,0.31742,1.35017,0.00718,0.0012674,0.0012674,0.0012674
39,525.272,0.6523,0.32539,1.35139,0.00876,0.99981,0.98603,0.985,0.84327,0.71518,0.32692,1.35445,0.00686,0.0012476,0.0012476,0.0012476
40,538.249,0.66877,0.33766,1.33537,0.00852,0.9998,0.98603,0.99254,0.84563,0.71217,0.32906,1.35463,0.00484,0.0012278,0.0012278,0.0012278
41,551.27,0.64403,0.32664,1.32448,0.00722,0.99981,0.98603,0.99268,0.84259,0.70987,0.32495,1.34048,0.00499,0.001208,0.001208,0.001208
42,564.238,0.64954,0.32676,1.32536,0.00704,0.99973,0.98603,0.99219,0.85332,0.69872,0.30122,1.32726,0.00515,0.0011882,0.0011882,0.0011882
43,577.249,0.65267,0.32174,1.31664,0.00826,0.9998,0.98603,0.985,0.84147,0.7007,0.31578,1.34074,0.00906,0.0011684,0.0011684,0.0011684
44,590.286,0.65133,0.32607,1.32979,0.00721,0.99979,0.98603,0.99267,0.84863,0.6928,0.31397,1.34488,0.00516,0.0011486,0.0011486,0.0011486
