epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5361,0.97791,1.62913,1.67463,0.03737,0.99958,0.98603,0.99329,0.78989,0.83947,0.6808,1.49693,0.00401,0.000658228,0.000658228,0.000658228
2,29.1496,0.72957,0.51323,1.44008,0.00426,0.99968,0.98603,0.985,0.81568,0.78431,0.41548,1.44609,0.00238,0.00131178,0.00131178,0.00131178
3,43.006,0.71124,0.40648,1.41741,0.00349,1,0.98526,0.99126,0.82394,0.76851,0.41455,1.43955,0.00183,0.00195213,0.00195213,0.00195213
4,56.0079,0.67044,0.37873,1.36986,0.00189,0.99916,0.98603,0.985,0.81301,0.79918,0.41978,1.41842,0.00403,0.0019406,0.0019406,0.0019406
5,70.1584,0.65017,0.34631,1.34374,0.00206,0.99965,0.98603,0.9899,0.80888,0.78949,0.36235,1.47012,0.00161,0.0019208,0.0019208,0.0019208
6,83.9578,0.6319,0.3341,1.32167,0.00299,0.99969,0.98603,0.985,0.81272,0.7801,0.36814,1.39096,0.00253,0.001901,0.001901,0.001901
7,97.2135,0.61305,0.31747,1.31223,0.0026,0.99978,0.98603,0.985,0.82807,0.74498,0.35062,1.41142,0.00237,0.0018812,0.0018812,0.0018812
8,110.525,0.58925,0.30924,1.2829,0.00155,0.98508,0.98324,0.99,0.749,0.94345,0.46699,1.83567,0.00127,0.0018614,0.0018614,0.0018614
9,124.225,0.56673,0.29938,1.26222,0.00185,0.99994,0.98603,0.985,0.80166,0.82369,0.35868,1.56366,0.00164,0.0018416,0.0018416,0.0018416
10,137.197,0.55253,0.29144,1.24131,0.00175,0.99747,0.98603,0.985,0.81826,0.77593,0.40995,1.46379,0.00209,0.0018218,0.0018218,0.0018218
11,151.648,0.53162,0.28093,1.2059,0.00132,0.99967,0.98603,0.985,0.81274,0.80374,0.35704,1.54184,0.00246,0.001802,0.001802,0.001802
12,165.453,0.52663,0.2894,1.18503,0.00189,0.99929,0.98603,0.985,0.82249,0.74926,0.34428,1.42852,0.00145,0.0017822,0.0017822,0.0017822
13,177.796,0.48636,0.27192,1.14711,0.00161,0.99888,0.98603,0.985,0.8246,0.75788,0.35204,1.54632,0.00117,0.0017624,0.0017624,0.0017624
14,190.359,0.46427,0.25547,1.12259,0.0017,0.99622,0.98324,0.98497,0.81665,0.78832,0.34837,1.49831,0.00248,0.0017426,0.0017426,0.0017426
15,202.902,0.43732,0.25324,1.08073,0.00159,0.9993,0.98603,0.985,0.82814,0.74691,0.33744,1.48827,0.00143,0.0017228,0.0017228,0.0017228
16,215.421,0.40956,0.24094,1.05881,0.00169,0.99909,0.98603,0.985,0.80399,0.8223,0.35169,1.6218,0.00152,0.001703,0.001703,0.001703
17,227.887,0.39528,0.23581,1.03021,0.00114,0.99908,0.98603,0.985,0.82585,0.75379,0.34246,1.65986,0.00105,0.0016832,0.0016832,0.0016832
18,240.331,0.37752,0.22703,1.00588,0.00127,0.99748,0.98603,0.985,0.82415,0.7647,0.33811,1.64171,0.00154,0.0016634,0.0016634,0.0016634
19,252.851,0.35983,0.22662,0.98486,0.00109,0.99964,0.98603,0.985,0.80282,0.82268,0.36118,1.58163,0.00142,0.0016436,0.0016436,0.0016436
20,265.28,0.34247,0.21992,0.97119,0.00119,0.99863,0.98603,0.985,0.82706,0.76227,0.33968,1.66893,0.00119,0.0016238,0.0016238,0.0016238
21,277.672,0.33059,0.21618,0.95237,0.00158,0.99405,0.98603,0.985,0.82453,0.75629,0.35513,1.74812,0.00151,0.001604,0.001604,0.001604
22,290.263,0.30888,0.20444,0.93665,0.0012,0.99963,0.98603,0.985,0.8148,0.79301,0.3531,1.82127,0.00109,0.0015842,0.0015842,0.0015842
23,302.794,0.29192,0.19887,0.92492,0.00097,0.99922,0.98603,0.985,0.81149,0.77566,0.36591,1.63061,0.00126,0.0015644,0.0015644,0.0015644
24,315.303,0.27161,0.18903,0.91099,0.001,0.99915,0.98603,0.985,0.82202,0.74012,0.34211,1.64679,0.00113,0.0015446,0.0015446,0.0015446
25,327.8,0.2691,0.19048,0.90784,0.00107,0.99639,0.98603,0.985,0.81782,0.7747,0.34445,1.69102,0.00104,0.0015248,0.0015248,0.0015248
