epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,43.3867,1.00404,1.4031,1.76242,0.03516,0.98653,0.98213,0.98636,0.83215,0.68606,0.53782,1.34632,0.00759,0.000552902,0.000552902,0.000552902
2,82.1275,0.82069,0.6134,1.3086,0.00928,0.97793,0.97654,0.99106,0.82303,0.6943,0.45458,1.25087,0.00363,0.00109759,0.00109759,0.00109759
3,119.272,0.79245,0.53999,1.28064,0.00755,0.99064,0.98212,0.98955,0.84695,0.62666,0.43222,1.21832,0.00395,0.00163128,0.00163128,0.00163128
4,158.43,0.75574,0.4995,1.25563,0.00772,0.9967,0.98324,0.99444,0.84819,0.63659,0.38234,1.23262,0.005,0.00161749,0.00161749,0.00161749
5,192.95,0.74527,0.47926,1.24839,0.00735,0.99611,0.98771,0.99466,0.85718,0.61327,0.3734,1.17152,0.00252,0.00160099,0.00160099,0.00160099
6,226.296,0.74169,0.4701,1.2378,0.00579,0.99106,0.99086,0.99487,0.84252,0.62337,0.34992,1.20734,0.00203,0.00158448,0.00158448,0.00158448
7,259.165,0.71855,0.44325,1.21728,0.00488,0.99629,0.98659,0.9945,0.8767,0.57139,0.33626,1.14621,0.00205,0.00156798,0.00156798,0.00156798
8,292.002,0.70029,0.43005,1.21065,0.00507,0.99328,0.99142,0.99456,0.8786,0.56798,0.33289,1.15973,0.00344,0.00155148,0.00155148,0.00155148
9,324.901,0.69297,0.41605,1.20304,0.00497,0.99143,0.98994,0.99476,0.88206,0.56552,0.33391,1.14737,0.00201,0.00153497,0.00153497,0.00153497
10,357.704,0.69346,0.42294,1.20069,0.00537,0.99086,0.98883,0.99422,0.88068,0.56403,0.33304,1.15323,0.00498,0.00151847,0.00151847,0.00151847
11,390.679,0.70761,0.41226,1.21157,0.0054,0.99494,0.98659,0.99417,0.88177,0.55052,0.31353,1.1511,0.00162,0.00150197,0.00150197,0.00150197
12,423.768,0.68057,0.40453,1.19279,0.00463,0.99695,0.98994,0.99456,0.88822,0.54827,0.30582,1.13625,0.00156,0.00148546,0.00148546,0.00148546
13,457.293,0.68163,0.40291,1.19898,0.00386,0.99685,0.98883,0.9944,0.87906,0.56362,0.31119,1.15807,0.00216,0.00146896,0.00146896,0.00146896
14,491.997,0.66543,0.39451,1.1748,0.00402,0.99663,0.99032,0.99455,0.89216,0.5254,0.29598,1.13528,0.00169,0.00145246,0.00145246,0.00145246
15,525.229,0.66813,0.38747,1.16858,0.00413,0.99636,0.98771,0.99455,0.88481,0.54366,0.30813,1.12837,0.00297,0.00143595,0.00143595,0.00143595
16,558.716,0.65862,0.38644,1.18081,0.00511,0.99621,0.98994,0.99455,0.89021,0.53878,0.31472,1.12773,0.00348,0.00141945,0.00141945,0.00141945
17,591.896,0.6547,0.38115,1.17786,0.00373,0.99437,0.98604,0.99432,0.89166,0.53496,0.31152,1.12796,0.00234,0.00140295,0.00140295,0.00140295
18,624.832,0.64493,0.377,1.16749,0.00413,0.99524,0.98883,0.99464,0.88688,0.54008,0.31571,1.12988,0.00227,0.00138644,0.00138644,0.00138644
19,658.191,0.65092,0.37591,1.1719,0.00371,0.99401,0.99106,0.99469,0.89884,0.51879,0.2942,1.11649,0.00126,0.00136994,0.00136994,0.00136994
20,691.441,0.64808,0.37255,1.16177,0.00379,0.99775,0.98951,0.99467,0.89766,0.51881,0.29424,1.11903,0.00195,0.00135344,0.00135344,0.00135344
21,724.672,0.63517,0.3681,1.1596,0.00419,0.99727,0.98547,0.99463,0.89628,0.53014,0.29032,1.12814,0.00136,0.00133693,0.00133693,0.00133693
22,761.001,0.63638,0.37215,1.15784,0.00335,0.9955,0.98763,0.99444,0.89239,0.53288,0.29317,1.12259,0.00279,0.00132043,0.00132043,0.00132043
23,801.075,0.63373,0.36131,1.16266,0.00393,0.99492,0.98883,0.99443,0.8881,0.52678,0.28139,1.12827,0.00124,0.00130393,0.00130393,0.00130393
24,835.097,0.63871,0.37062,1.15904,0.00371,0.99168,0.98771,0.99258,0.89304,0.51823,0.29456,1.11852,0.00184,0.00128742,0.00128742,0.00128742
